title,author,publisher,publishedAt,image,isbn
TCP/IP가 보이는 그림책(개정증보판),ANK Co Ltd,성안당,2019-05-03,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4940198%3Ftimestamp%3D20210706195108,9788931555868
Nginx HTTP 서버,끌레망 네델꾸,에이콘출판,2020-03-31,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5324246%3Ftimestamp%3D20210706194007,9791161754017
미래를 바꾼 아홉 가지 알고리즘(acornLoft),존 맥코믹,에이콘출판,2013-05-31,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F840225%3Ftimestamp%3D20210706193605,9788960774384
현금흐름분석(15판),김명철,한국금융연수원,2020-11-27,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5543137%3Ftimestamp%3D20210706191856,9788928726301
리얼월드 HTTP,시부카와 요시키,한빛미디어,2019-04-19,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4920518%3Ftimestamp%3D20210706192914,9791162240908
HTML+CSS 웹 디자인 입문(러닝스쿨! 한 권으로 끝내는)(위키북스 러닝스쿨...,Mana,위키북스,2020-01-03,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5158764%3Ftimestamp%3D20210705180722,9791158391782
오픈 소스로 미래를 연마하라,VM(비키) 브라수어,인사이트,2019-10-22,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5097543%3Ftimestamp%3D20210706194458,9788966262519
유튜브 영상 편집을 위한 프리미어 프로,조블리,제이펍,2020-01-17,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5175247%3Ftimestamp%3D20210706194425,9791188621811
유튜브 영상 편집을 위한 프리미어 프로,조블리,제이펍,2020-01-17,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5175247%3Ftimestamp%3D20210706194425,9791188621811
디자인 씽킹 바이블,로저 마틴,유엑스리뷰(UX REVIEW),2018-01-22,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1653422%3Ftimestamp%3D20210706193612,9791188314003
이산수학(컴퓨팅 사고력을 키우는)(개정판)(IT CookBook 210),박주미,한빛아카데미,2017-01-14,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1568202%3Ftimestamp%3D20210706193515,9791156643050
이산수학(4차 산업혁명 시대의)(개정판),김대수,생능출판,2019-06-10,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4970406%3Ftimestamp%3D20210706195153,9788970509808
처음 시작하는 아이패드 프로크리에이트 드로잉,오유,한스미디어,2020-02-11,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5228620%3Ftimestamp%3D20210701150008,9791160074628
브루스 테이트의 세븐 랭귀지,브루스 테이트,한빛미디어,2015-05-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F943039%3Ftimestamp%3D20210706193855,9788968481857
30분 통계학,구라타 히로시,길벗,2018-10-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3938171%3Ftimestamp%3D20210706192525,9791160505948
슬기로운 아이패드 생활(프로 일잘러를 위한),이지은(리지),천그루숲,2020-04-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5341672%3Ftimestamp%3D20210706191545,9791188348633
브루스 테이트의 세븐 랭귀지,브루스 테이트,한빛미디어,2015-05-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F943039%3Ftimestamp%3D20210706193855,9788968481857
30분 통계학,구라타 히로시,길벗,2018-10-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3938171%3Ftimestamp%3D20210706192525,9791160505948
프로크리에이트로 시작하는 아이패드 드로잉,허수정,책밥,2020-02-03,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5222792%3Ftimestamp%3D20210706194532,9791196845391
토비의 스프링 3.1 Vol. 1: 스프링의 이해와 원리(에이콘 오픈소스...,이일민,에이콘출판,2012-09-21,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F839315%3Ftimestamp%3D20210706195127,9788960773417
이렇게 쉬운 통계학,혼마루 료,한빛미디어,2019-03-10,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4897368%3Ftimestamp%3D20210706195054,9791162241509
알고리즘이 욕망하는 것들,에드 핀,한빛미디어,2019-03-29,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4910045%3Ftimestamp%3D20210703183748,9791162241660
이렇게 쉬운 통계학,혼마루 료,한빛미디어,2019-03-10,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4897368%3Ftimestamp%3D20210706195054,9791162241509
